tourney_id,surface,winner_id,loser_id
2020-M-DC-2020-WG2-PO-MAR-VIE-01,Clay,209119,144775
2020-8888,Hard,106432,106233
2020-580,Hard,106401,132283
2020-580,Hard,104545,126214
2020-0375,Hard,104792,105936
2020-0496,Hard,105577,200325
2020-560,Hard,105936,106218
2020-M009,Clay,105882,106432
2020-0568,Hard,104527,105554
2020-M-DC-2020-QLS-M-ARG-COL-01,Clay,123755,104919
2020-8888,Hard,106401,126774
2020-580,Hard,104312,200175
2020-580,Hard,105916,133430
2020-580,Hard,105357,200005
2020-580,Hard,200615,144719
2020-0506,Clay,111513,202103
2020-0496,Hard,105332,106296
2020-0495,Hard,104925,104259
2020-560,Hard,105807,106034
2020-560,Hard,106432,126774
2020-580,Hard,128034,110602
2020-8888,Hard,106421,104545
2020-580,Hard,126203,134868
2020-0891,Hard,105575,105649
2020-0496,Hard,200000,105882
2020-M009,Clay,134770,132283
2020-520,Clay,126094,200221
2020-7434,Hard,105357,202090
2020-M-DC-2020-WG2-PO-SYR-ZIM-01,Hard,208518,200250
2020-580,Hard,126214,123755
2020-580,Hard,126094,105216
2020-580,Hard,103819,105357
2020-580,Hard,105815,104926
2020-0506,Clay,134770,104665
2020-0496,Hard,106078,110602
2020-0496,Hard,105732,105062
2020-560,Hard,111442,105062
2020-0495,Hard,104792,106034
2020-560,Hard,200221,110602
2020-M056,Hard,126205,105379
2020-0496,Hard,128034,126156
2020-M009,Clay,105227,105676
2020-7434,Hard,207797,105227
2020-M-DC-2020-WG2-PO-PHI-GRE-01,Clay,202065,209873
2020-M-DC-2020-QLS-M-SWE-CHI-01,Hard,144707,144642
2020-580,Hard,126610,106302
2020-580,Hard,200221,105613
2020-580,Hard,105807,105376
2020-0506,Clay,134770,106148
2020-0495,Hard,104755,105332
2020-560,Hard,200221,111815
2020-520,Clay,106065,200282
2020-0568,Hard,105683,122330
2020-0352,Hard,105173,105583
2020-580,Hard,105676,105732
2020-0407,Hard,105777,133430
2020-0496,Hard,144707,104755
2020-560,Hard,106099,124014
2020-M009,Clay,200005,104926
2020-520,Clay,105916,105077
2020-M-DC-2020-WG2-PO-SYR-ZIM-01,Hard,111761,200181
2020-580,Hard,105683,105227
2020-8888,Hard,104468,144750
2020-0301,Hard,128034,103852
