player_id,first_name,last_name,country_code,current_rank
110602,Dennis,Novak,AUT,98
104467,Lamine,Ouahab,ALG,649
104468,Gilles,Simon,FRA,64
206909,Brandon,Nakashima,USA,170
104527,Stanislas,Wawrinka,SUI,18
104542,Jo Wilfried,Tsonga,FRA,60
110686,Finn,Tearney,NZL,1043
104545,John,Isner,USA,25
104586,Lukas,Rosol,CZE,196
110748,Nikola,Milojevic,SRB,138
127143,Jirat,Navasirisomboon,THA,1590
127157,Daniel,Altmaier,GER,130
209080,Blaise,Bicknell,USA,1362
108739,Wilfredo,Gonzalez,GUA,1123
104655,Pablo,Cuevas,URU,68
104656,Haydn,Lewis,BAR,-1
104660,Sergiy,Stakhovsky,UKR,201
104665,Pablo,Andujar,ESP,59
108763,Alberto Emmanuel,Alvarado Larin,ESA,-1
209119,Aissa,Benchakroun,MAR,1723
108772,Julius,Tverijonas,LTU,832
104678,Viktor,Troicki,SRB,202
104731,Kevin,Anderson,RSA,82
100644,Alexander,Zverev,GER,7
104745,Rafael,Nadal,ESP,2
104755,Richard,Gasquet,FRA,47
133430,Denis,Shapovalov,CAN,12
209225,Martin Antonio,Vergara Del Puerto,PAR,-1
209226,Adolfo Daniel,Vallejo,PAR,-1
104792,Gael,Monfils,FRA,11
104797,Denis,Istomin,UZB,183
127326,Ben,Fatael,ISR,580
127339,Borna,Gojo,CRO,223
104871,Jeremy,Chardy,FRA,72
104882,Blaz,Kavcic,SLO,272
104898,Robin,Haase,NED,198
104901,Vladimir,Ivanov,EST,713
104907,Jose Rubin,Statham,NZL,-1
104918,Andy,Murray,GBR,123
104919,Leonardo,Mayer,ARG,135
104925,Novak,Djokovic,SRB,1
104926,Fabio,Fognini,ITA,17
104999,Mischa,Zverev,GER,264
207401,Sheil,Kotecha,KEN,1423
111153,Christopher,Eubanks,USA,235
105011,Illya,Marchenko,UKR,215
105023,Sam,Querrey,USA,56
105030,Michael,Venus,NZL,-1
105053,Santiago,Giraldo,COL,318
111200,Elias,Ymer,SWE,204
105062,Mikhail,Kukushkin,KAZ,89
117356,Cem,Ilkel,TUR,219
117360,Marc,Polmans,AUS,124
105074,Ruben,Bemelmans,BEL,225
105077,Albert,Ramos,ESP,45
207518,Lorenzo,Musetti,ITA,129
105138,Roberto,Bautista Agut,ESP,13
105147,Tatsuma,Ito,JPN,189
105155,Pedro,Sousa,POR,106
105156,Federico,Zeballos,BOL,573
105173,Adrian,Mannarino,FRA,34
207608,Timofey,Skatov,RUS,445
105208,Ernests,Gulbis,LAT,185
105216,Yuichi,Sugita,JPN,102
105226,Attila,Balazs,HUN,93
105227,Marin,Cilic,CRO,43
207669,Robert,Strombachs,GER,668
207680,Facundo,Diaz Acosta,ARG,401
111442,Jordan,Thompson,AUS,51
133975,Benjamin,Hassan,GER,371
133979,Hasan,Ibrahim,GER,1549
111453,Mikael,Torpegaard,DEN,192
105311,Joao,Sousa,POR,92
111456,Mackenzie,Mcdonald,USA,194
111459,Arjun,Kadhe,IND,662
111460,Quentin,Halys,FRA,206
125802,Ilya,Ivashka,BLR,108
123755,Daniel Elahi,Galan Riveros,COL,115
131951,Daniel,Cukierman,ISR,788
105332,Benoit,Paire,FRA,28
105334,Luis David,Martinez,VEN,-1
207738,Brandon,Perez,VEN,1723
105341,Thomas,Fabbiano,ITA,173
205695,Ching,Lam,HKG,-1
105349,Harri,Heliovaara,FIN,636
105357,John,Millman,AUS,38
105359,Jason,Jung,TPE,132
111505,Enzo,Couacaud,FRA,211
125842,Adam,Moundir,SUI,497
123795,Altug,Celikbilek,TUR,309
111511,Noah,Rubin,USA,251
111513,Laslo,Djere,SRB,55
111515,Thai Son,Kwiatkowski,USA,213
105373,Martin,Klizan,SVK,152
105376,Peter,Gojowczyk,GER,146
105379,Aljaz,Bedene,SLO,58
103333,Ivo,Karlovic,CRO,148
205734,Thiago,Seyboth Wild,BRA,117
207797,Jonas,Forejtek,CZE,364
105406,Roberto,Marcora,ITA,180
105413,Andrej,Martin,SVK,100
209866,Karlis,Ozolins,LVA,1073
209867,Daniil,Ostapenkov,BLR,-1
209868,Kaipo,Marshall,BAR,-1
209869,Rodrigo,Crespo Piedra,CRC,-1
