tourney_id,tourney_name,surface,tourney_date
2018-0533,Sao Paulo,Clay,20180226
2019-M-DC-2019-FLS-F-M-USA-CAN-01,Davis Cup Finals RR: USA vs CAN,Hard,20191119
2020-M-DC-2020-WG1-PO-TUR-ISR-01,Davis Cup WG1 PO: TUR vs ISR,Clay,20200306
2018-0352,Paris Masters,Hard,20181029
2019-9158,Cordoba,Clay,20190204
2018-0328,Basel,Hard,20181022
2019-M-DC-2019-G1-AM-M-BRA-BAR-01,Davis Cup G1 R1: BRA vs BAR,Clay,20190913
2018-M-DC-2018-G1-AO-M-PAK-UZB-01,Davis Cup G1 R2: PAK vs UZB,Grass,20180406
2020-M-DC-2020-QLS-M-BEL-HUN-01,Davis Cup QLS R1: BEL vs HUN,Clay,20200306
2018-7161,Quito,Clay,20180205
2019-M014,Moscow,Hard,20191014
2018-M-DC-2018-WG-M-ESP-GER-01,Davis Cup WG QF: ESP vs GER,Clay,20180406
2020-M-DC-2020-WG2-PO-MAR-VIE-01,Davis Cup WG2 PO: MAR vs VIE,Clay,20200306
2020-8996,Santiago,Clay,20200224
2018-0308,Munich,Clay,20180430
2019-M-DC-2019-G2-AO-M-NZL-INA-01,Davis Cup G2 R1: NZL vs INA,Hard,20190914
2019-M-DC-2019-FLS-F-M-ITA-CAN-01,Davis Cup Finals RR: ITA vs CAN,Hard,20191118
2019-M-DC-2019-G2-AO-M-THA-PHI-01,Davis Cup G2 R1: THA vs PHI,Hard,20190405
2018-0429,Stockholm,Hard,20181015
2018-M-DC-2018-G1-AM-M-COL-BRA-01,Davis Cup G1 R2: COL vs BRA,Hard,20180406
2018-7650,Antalya,Grass,20180625
2018-M-DC-2018-G2-AO-M-LBN-TPE-01,Davis Cup G2 R1: LBN vs TPE,Hard,20180203
2018-M015,Beijing,Hard,20181001
2019-M-DC-2019-G1-AO-M-UZB-LBN-01,Davis Cup G1 R1: UZB vs LBN,Clay,20190913
2019-M016,Eastbourne,Grass,20190624
2018-0424,New York,Hard,20180212
2018-M-DC-2018-G1-EPA-M-BIH-SVK-01,Davis Cup G1 R2: BIH vs SVK,Clay,20180406
2018-560,US Open,Hard,20180827
2018-0568,St. Petersburg,Hard,20180917
2019-0316,Bastad,Clay,20190715
2019-M024,Cincinnati Masters,Hard,20190812
2019-M-DC-2019-QLS-M-SRB-UZB-01,Davis Cup QLS R1: SRB vs UZB,Hard,20190201
2019-0410,Monte Carlo Masters,Clay,20190415
2018-M-DC-2018-G2-EPA-M-SLO-POL-01,Davis Cup G2 R1: SLO vs POL,Hard,20180203
2018-M-DC-2018-G2-EPA-M-EGY-FIN-01,Davis Cup G2 R3: EGY vs FIN,Clay,20180914
2020-9408,Sardinia,Clay,20201012
2019-M-DC-2019-FLS-C-M-ARG-GER-01,Davis Cup Finals RR: ARG vs GER,Hard,20191120
2019-0429,Stockholm,Hard,20191014
2018-M-DC-2018-G2-EPA-M-TUR-ZIM-01,Davis Cup G2 R1: TUR vs ZIM,Hard,20180203
2018-0495,Dubai,Hard,20180226
2019-M-DC-2019-FLS-D-M-AUS-COL-01,Davis Cup Finals RR: AUS vs COL,Hard,20191119
2019-5014,Shanghai Masters,Hard,20191007
2019-M-DC-2019-QLS-M-GER-HUN-01,Davis Cup QLS R1: GER vs HUN,Hard,20190201
2020-0407,Rotterdam,Hard,20200210
2018-6932,Rio de Janeiro,Clay,20180219
2019-6932,Rio de Janeiro,Clay,20190218
2018-M-DC-2018-G2-EPA-M-ROU-LUX-01,Davis Cup G2 R1: ROU vs LUX,Hard,20180203
2019-0301,Auckland,Hard,20190107
2018-M009,Rome Masters,Clay,20180514
2020-8888,Atp Cup,Hard,20200106
2018-520,Roland Garros,Clay,20180528
