tourney_id,surface,winner_id,loser_id
2019-M-DC-2019-FLS-M-SRB-RUS-01,Hard,104925,111575
2019-M-DC-2019-G2-AM-M-PER-ESA-01,Hard,105656,122669
2019-540,Grass,103819,144750
2019-M035,Hard,106401,111515
2019-7485,Hard,105657,106043
2019-6242,Hard,106216,104804
2019-M014,Hard,105173,104312
2019-M-DC-2019-QLS-M-AUT-CHI-01,Clay,110602,106426
2019-560,Hard,105777,103819
2019-M035,Hard,122330,105614
2019-0319,Clay,144719,105341
2019-0451,Hard,126094,104312
2019-580,Hard,126774,105138
2019-M004,Hard,105449,126204
2019-M006,Hard,105432,105932
2019-M007,Hard,103819,106421
2019-7694,Clay,104755,126125
2019-520,Clay,106228,144895
2019-7650,Grass,111442,106000
2019-540,Grass,104919,105208
2019-0341,Hard,106296,126156
2019-M014,Hard,111575,104259
2019-M-DC-2019-QLS-M-ITA-IND-01,Grass,126610,105432
2019-6242,Hard,105449,134770
2019-0329,Hard,106034,105332
2019-540,Grass,105023,105357
2019-0329,Hard,105676,133430
2019-7648,Clay,126610,104655
2019-M001,Hard,105819,105051
2019-6932,Clay,200000,104655
2019-M004,Hard,104527,105992
2019-0308,Clay,105550,104999
2019-7290,Clay,104655,111795
2019-520,Clay,105223,111797
2019-520,Clay,105526,105430
2019-M016,Grass,105341,111513
2019-540,Grass,105676,105614
2019-540,Grass,105550,105657
2019-M016,Grass,105023,105583
2019-0311,Grass,106421,104269
2019-0429,Hard,126149,104665
2019-0451,Hard,109739,105376
2019-0891,Hard,144719,104620
2019-M001,Hard,104468,105023
2019-0495,Hard,103819,105916
2019-M007,Hard,133430,126774
2019-520,Clay,104527,106075
2019-M016,Grass,106378,111815
2019-0315,Grass,105819,103333
2019-0414,Clay,100644,105936
2019-560,Hard,105554,106298
2019-0329,Hard,106298,106415
2019-0337,Hard,106043,111575
2019-0500,Grass,111575,105526
2019-0337,Hard,126094,122330
2019-M-DC-2019-FLS-A-M-FRA-SRB-01,Hard,104925,105332
2019-0352,Hard,126774,200282
2019-520,Clay,105583,200611
2019-0316,Clay,105311,111200
2019-M-DC-2019-FLS-E-M-KAZ-NED-01,Hard,105062,122298
2019-0308,Clay,106121,200005
2019-M020,Hard,200282,111442
2019-520,Clay,126774,109739
2019-520,Clay,105777,105227
2019-540,Grass,105449,200282
2019-7480,Hard,104926,104719
2019-M035,Hard,105613,105173
2019-0421,Hard,105138,104755
2019-0421,Hard,104545,111442
2019-0329,Hard,124187,106034
2019-0421,Hard,100644,105932
2019-M-DC-2019-FLS-F-M-USA-ITA-01,Hard,104926,124187
2019-M015,Hard,111575,104871
2019-0421,Hard,105227,105357
2019-5014,Hard,100644,104871
2019-M015,Hard,126774,105583
2019-M001,Hard,106043,106415
2019-580,Hard,105807,104563
2019-580,Hard,104745,126207
2019-0496,Hard,105062,106045
2019-0533,Clay,106426,104919
2019-M007,Hard,126207,105676
2019-M021,Clay,104745,200000
2019-M006,Hard,104925,106216
2019-520,Clay,100644,144707
2019-0311,Grass,103852,105683
2019-0421,Hard,105932,105583
2019-5014,Hard,106426,104655
2019-M035,Hard,106401,126774
2019-0568,Hard,106078,126610
2019-M-DC-2019-QLS-M-CZE-NED-01,Hard,104898,104586
2019-6242,Hard,106000,126156
2019-0429,Hard,105807,105023
2019-0352,Hard,104871,106421
2019-M-DC-2019-QLS-M-GER-HUN-01,Hard,100644,105954
2019-560,Hard,104792,105077
2019-0451,Hard,104607,104269
2019-580,Hard,105138,104918
2019-7648,Clay,105732,105226
2019-0308,Clay,200484,105657
2019-520,Clay,106198,105432
2019-540,Grass,105526,126203
