tourney_id,surface,winner_id,loser_id
2020-0495,Hard,105936,105311
2019-540,Grass,103819,144750
2019-M006,Hard,111513,105819
2020-0301,Hard,105332,106329
2020-0301,Hard,200005,104545
2019-580,Hard,104607,106043
2020-560,Hard,200000,104918
2018-7161,Clay,106329,104792
2018-0533,Clay,106249,105952
2018-M006,Hard,106432,126203
2018-540,Grass,126207,104269
2018-M014,Hard,106078,106000
2019-0451,Hard,126094,104312
2019-M006,Hard,105432,105932
2019-520,Clay,106228,144895
2019-7650,Grass,111442,106000
2019-M-DC-2019-G1-EPA-M-CZE-BIH-01,Hard,207797,105806
2020-560,Hard,106331,111513
2019-0375,Hard,104719,103333
2020-7434,Hard,104755,106099
2019-0329,Hard,106034,105332
2019-M010,Grass,105062,132283
2020-580,Hard,103819,105449
2019-0425,Clay,106233,105550
2020-M056,Hard,126094,200000
2018-0717,Clay,105815,105550
2018-M021,Clay,104731,105583
2018-7694,Clay,105430,105643
2018-0337,Hard,111575,110602
2018-7480,Hard,105223,106078
2018-560,Hard,111513,104919
2018-7581,Hard,126203,202358
2019-7648,Clay,126610,104655
2019-6932,Clay,200000,104655
2019-0308,Clay,105550,104999
2019-0360,Clay,104542,132283
2020-M-DC-2020-WG1-PO-LBN-THA-01,Clay,106397,133979
2020-9404,Hard,105430,105732
2019-7694,Clay,200000,105449
2019-0499,Hard,105223,106415
2019-580,Hard,126207,104731
2019-M007,Hard,126094,106121
2020-580,Hard,105643,105311
2020-M-DC-2020-WG1-PO-PAK-SLO-01,Grass,103529,106247
2019-M020,Hard,106045,126203
2019-7480,Hard,105062,111815
2019-M021,Clay,126207,105932
2019-0311,Grass,104731,111815
2018-M-DC-2018-G2-AM-M-PUR-MEX-01,Hard,106250,200274
2018-0533,Clay,104655,104919
2018-M006,Hard,111202,104655
2018-540,Grass,106378,106109
2018-7480,Hard,104926,105223
2018-M014,Hard,105332,104999
2019-0451,Hard,109739,105376
2019-0891,Hard,144719,104620
2019-520,Clay,104527,106075
2019-0315,Grass,105819,103333
2019-0414,Clay,100644,105936
2019-0329,Hard,106298,106415
2019-0495,Hard,104571,105633
2020-520,Clay,104925,126774
2020-8888,Hard,105676,104745
2019-0425,Clay,104745,103970
2019-0337,Hard,126094,122330
2019-M007,Hard,106148,106045
2019-0311,Grass,104871,105062
2019-0424,Hard,104198,105357
2020-520,Clay,126610,105577
2018-0375,Hard,103917,104460
2018-7434,Hard,104571,106099
2018-7434,Hard,104882,111513
2018-M021,Clay,106233,104745
2018-0337,Hard,105023,104542
2018-7694,Clay,111815,105497
2018-560,Hard,104755,105216
2018-0717,Clay,103333,106401
2018-7581,Hard,105051,105539
2019-0308,Clay,106121,200005
2019-0410,Clay,105916,105932
2019-0301,Hard,111815,105311
2019-0533,Clay,105477,106121
2019-0421,Hard,100644,105932
2019-540,Grass,106296,122330
2019-0425,Clay,126203,124187
2020-580,Hard,111442,122330
2020-M009,Clay,133430,200005
2020-0496,Hard,105577,200325
2020-M056,Hard,144750,126205
2020-6932,Clay,106426,105643
2020-520,Clay,127157,126610
2019-7480,Hard,106423,106298
2019-520,Clay,126156,106000
2018-520,Clay,105732,105166
2019-540,Grass,126652,111511
2018-0496,Hard,104180,104660
2018-M006,Hard,103819,104871
2018-540,Grass,105614,105216
2018-6242,Hard,105992,104468
2018-M014,Hard,105173,106348
2019-580,Hard,105807,104563
2019-580,Hard,104745,126207
2019-0496,Hard,105062,106045
2019-M006,Hard,104925,106216
2019-0421,Hard,105932,105583
2019-7581,Hard,105807,105430
2019-7650,Grass,105906,117356
2019-M004,Hard,100644,200282
2020-0414,Clay,126774,106426
2020-M-DC-2020-QLS-M-BEL-HUN-01,Clay,105916,105074
2018-0375,Hard,105732,104932
2020-9410,Hard,200325,111442
2020-0424,Hard,104312,106000
2019-0407,Hard,105683,104259
2019-M-DC-2019-QLS-M-GER-HUN-01,Hard,100644,105954
2018-7161,Clay,106329,104547
2018-0717,Clay,126203,106058
2018-M021,Clay,100644,133430
2018-7694,Clay,109739,104792
2018-7480,Hard,105223,106000
2018-560,Hard,106298,120424
2018-7581,Hard,126610,105432
2019-0451,Hard,104607,104269
2019-580,Hard,105138,104918
2019-7648,Clay,105732,105226
2019-0311,Grass,200000,126774
2019-580,Hard,104925,106283
2020-560,Hard,105777,126205
2020-M004,Hard,126952,106121
2020-520,Clay,133430,104468
2020-M-DC-2020-QLS-M-AUT-URU-01,Hard,104655,200514
2018-7650,Grass,106210,104269
2020-0375,Hard,106296,105311
2019-7434,Hard,105138,105051
2019-9158,Clay,105379,104926
2018-M-DC-2018-WG-M-KAZ-SUI-01,Hard,105062,106391
2018-7161,Clay,105882,104665
2018-0495,Hard,106298,105936
2018-M006,Hard,105223,104259
2018-540,Grass,104547,105819
2018-560,Hard,111202,105575
2019-0891,Hard,103333,104327
2019-0496,Hard,126774,128034
2019-0319,Clay,106233,124116
2019-0429,Hard,105807,105357
2020-0352,Hard,105613,106065
2020-520,Clay,124079,126846
2019-M009,Clay,105453,126203
2020-580,Hard,104926,111442
2019-M006,Hard,105173,105815
2020-M004,Hard,126952,105583
2018-520,Clay,106378,200282
2019-0533,Clay,105477,205734
2020-520,Clay,105916,106421
2020-0319,Clay,200175,105870
2019-M007,Hard,106065,106000
2020-M-DC-2020-WG2-PO-DEN-PUR-01,Hard,104233,200620
2018-0717,Clay,105449,104545
2018-M-DC-2018-G1-EPA-M-POR-SWE-01,Hard,111200,105671
2018-M021,Clay,106233,104731
2018-7581,Hard,105074,104999
2018-7694,Clay,104468,105515
2018-560,Hard,104571,104022
2019-M020,Hard,104542,200282
2019-M006,Hard,104792,104919
2019-0308,Clay,106045,106378
2019-7648,Clay,105430,104660
2019-0314,Clay,106210,105208
2019-0410,Clay,126774,105062
2020-8996,Clay,122669,106110
2020-0407,Hard,200000,105777
2019-0414,Clay,104871,105332
2019-560,Hard,126610,200615
2020-M024,Hard,111575,105807
2019-M006,Hard,103819,104527
2018-M-DC-2018-G2-AM-M-BOL-PER-01,Clay,126502,105273
2018-7161,Clay,105413,105807
2018-0495,Hard,105138,104291
2018-M006,Hard,105683,105023
2018-540,Grass,104925,105815
2018-6242,Hard,136440,105815
2019-M-DC-2019-FLS-E-M-KAZ-NED-01,Hard,105062,122298
2019-0495,Hard,106045,126610
2019-0360,Clay,105332,104542
2019-7650,Grass,111442,105614
2019-0605,Hard,104925,126610
2019-0533,Clay,106148,109739
2019-580,Hard,104792,106000
2019-580,Hard,106043,200484
2019-520,Clay,105676,200175
2020-6932,Clay,132283,104919
2019-0568,Hard,105916,106072
2018-M-DC-2018-G2-EPA-M-SLO-POL-01,Hard,128034,105587
2018-0717,Clay,105815,103333
2018-M021,Clay,100644,106233
2018-7581,Hard,200000,111202
2018-7480,Hard,104926,111815
2018-560,Hard,105311,104719
2019-7648,Clay,111513,105932
2019-580,Hard,105227,106071
2019-0717,Clay,106426,104871
2019-0533,Clay,105550,106148
2019-M004,Hard,105357,105376
2019-0891,Hard,104468,125802
2020-0499,Hard,200005,111578
2020-0451,Hard,200175,105916
2019-0407,Hard,105932,111202
2020-560,Hard,144895,105554
2020-M024,Hard,105683,105554
2018-M-DC-2018-G2-EPA-M-SLO-POL-01,Hard,105379,111794
2018-M-DC-2018-G2-EPA-M-TUN-FIN-01,Hard,105349,121411
2018-M006,Hard,106432,104731
2018-0410,Clay,104312,104198
2018-540,Grass,106401,104797
2018-0337,Hard,105453,126207
2019-M020,Hard,105453,105777
2019-580,Hard,104468,106216
2019-580,Hard,106421,105992
2019-M006,Hard,104259,106401
2019-0308,Clay,126610,104259
2019-520,Clay,104745,105676
2020-0424,Hard,105359,111815
2019-6242,Hard,104665,111797
2020-9158,Clay,106228,106065
2020-560,Hard,126207,104312
2020-0337,Hard,126774,105526
2020-7434,Hard,206173,200282
2020-M-DC-2020-WG2-PO-SYR-ZIM-01,Hard,111761,200181
2020-0301,Hard,105332,105357
2020-0375,Hard,105613,200325
2019-M010,Grass,104755,105379
2019-0375,Hard,104607,105936
2019-M004,Hard,105357,104719
2020-8888,Hard,105526,200000
2018-560,Hard,105807,104291
2018-0717,Clay,105449,126203
2018-M009,Clay,126610,126207
2018-7694,Clay,111815,109739
2018-7581,Hard,106071,144750
2018-0337,Hard,106233,105074
2018-0319,Clay,104797,105643
2018-6242,Hard,111797,104312
2019-0352,Hard,104792,105332
2019-0322,Clay,100644,105643
2020-520,Clay,117360,200005
2020-M-DC-2020-WG1-PO-LBN-THA-01,Clay,133975,106397
2020-520,Clay,206173,105676
2019-0360,Clay,105332,105732
2019-7694,Clay,200000,105932
2019-580,Hard,104607,106378
2020-0301,Hard,103852,104926
2020-6932,Clay,126149,106249
2019-0451,Hard,104607,105732
2019-M007,Hard,133430,105554
2019-M021,Clay,104259,105062
2018-M-DC-2018-G2-AM-M-BOL-PER-01,Clay,105935,106198
2018-7161,Clay,144895,103333
2018-M006,Hard,105311,100644
2018-M006,Hard,103819,111202
2018-540,Grass,104898,105657
2019-0429,Hard,126149,104665
2019-M020,Hard,104542,106121
2019-0891,Hard,103333,105208
2019-580,Hard,133430,106121
2019-0496,Hard,105062,200005
2019-560,Hard,106421,106198
2019-0322,Clay,105077,105311
2020-0499,Hard,206909,106210
2020-M024,Hard,105936,106099
2020-520,Clay,104745,106043
2019-0891,Hard,125802,128034
2019-0425,Clay,106233,144719
2019-0337,Hard,105379,105550
2020-8888,Hard,104731,105332
2020-0407,Hard,122330,106296
2019-M007,Hard,105311,202358
2019-0439,Clay,105487,126120
2019-0451,Hard,105138,104925
2019-0311,Grass,106401,106148
2019-0496,Hard,104468,105376
2018-7161,Clay,104792,134770
2018-0717,Clay,105449,105815
2018-M009,Clay,106378,104291
2018-560,Hard,104926,111581
2018-7581,Hard,104291,105173
2018-0337,Hard,104731,103781
2018-0319,Clay,105062,144895
2019-0429,Hard,105882,124187
2019-M021,Clay,104925,126774
2019-M020,Hard,105683,200175
2019-0410,Clay,111815,105173
2019-520,Clay,106214,104291
2020-6932,Clay,106426,105413
2019-0425,Clay,105077,111815
2019-0891,Hard,106368,104719
2019-0421,Hard,106421,106426
2019-0315,Grass,104545,105051
2019-580,Hard,105777,104386
2020-9406,Hard,100644,206173
2019-M-DC-2019-G1-EPA-M-AUT-FIN-01,Hard,200325,106233
2020-M009,Clay,200005,104731
2019-M001,Hard,105357,126207
2019-7480,Hard,105430,106121
2019-540,Grass,106043,105051
2018-0533,Clay,106105,106329
2018-M006,Hard,105223,105683
2018-540,Grass,106071,128034
2018-6242,Hard,106121,105023
2019-0429,Hard,105216,111200
2019-0451,Hard,105575,105676
2019-M006,Hard,111575,126094
2019-0717,Clay,134770,124187
2019-540,Grass,200615,105807
2019-0319,Clay,106148,106198
2019-0421,Hard,105526,104542
2020-0414,Clay,134770,200005
2020-0568,Hard,111575,105902
2020-M056,Hard,105077,111442
2019-7290,Clay,104291,104919
2020-8888,Hard,126774,100644
2020-0352,Hard,105683,200005
2020-0568,Hard,125802,105173
2018-0360,Clay,106378,106210
2018-M009,Clay,106298,104312
2018-6242,Hard,105376,104547
2018-560,Hard,105357,202385
2018-7581,Hard,105311,105577
2018-0337,Hard,106432,106298
2018-0319,Clay,109739,105132
2019-0891,Hard,104327,104291
2019-0496,Hard,126774,105676
2019-M006,Hard,104745,106043
2019-0321,Grass,126610,111575
2019-0717,Clay,134770,123755
2019-M007,Hard,200000,105916
2019-0308,Clay,100644,106228
2020-0424,Hard,200005,106218
2020-9404,Hard,110602,111442
2020-M004,Hard,105583,105449
2020-0891,Hard,106210,105575
2018-0533,Clay,104919,105671
2018-M006,Hard,103819,106432
2018-6242,Hard,105807,105015
2018-540,Grass,105453,106328
2019-580,Hard,104731,105173
2019-0496,Hard,126774,104660
