tourney_id,tourney_name,surface,tourney_date
2018-M-DC-2018-G2-AM-M-VEN-URU-01,Davis Cup G2 R2: VEN vs URU,Clay,20180407
2018-M-DC-2018-G2-AM-M-PUR-MEX-01,Davis Cup G2 R1: PUR vs MEX,Hard,20180203
2018-0506,Buenos Aires,Clay,20180212
2018-M-DC-2018-G2-AM-M-BOL-PER-01,Davis Cup G2 R1: BOL vs PER,Clay,20180203
2018-M-DC-2018-G2-EPA-M-EST-LTU-01,Davis Cup G2 R1: EST vs LTU,Hard,20180203
2018-M-DC-2018-WG-PO-HUN-CZE-01,Davis Cup WG PO: HUN vs CZE,Clay,20180914
2018-M-DC-2018-G2-EPA-M-POL-ZIM-01,Davis Cup G2 R2: POL vs ZIM,Hard,20180407
2018-0322,Geneva,Clay,20180521
2018-0568,St. Petersburg,Hard,20180917
2018-0496,Marseille,Hard,20180219
2018-M-DC-2018-G1-AM-M-COL-BAR-01,Davis Cup G1 R1: COL vs BAR,Hard,20180202
2018-540,Wimbledon,Grass,20180702
2018-M-DC-2018-WG-M-ITA-JPN-01,Davis Cup WG R1: ITA vs JPN,Hard,20180202
2018-M-DC-2018-G1-AM-M-ARG-CHI-01,Davis Cup G1 R2: ARG vs CHI,Clay,20180406
2018-M-DC-2018-G2-EPA-M-TUR-ZIM-01,Davis Cup G2 R1: TUR vs ZIM,Hard,20180203
2018-560,US Open,Hard,20180827
2018-7694,Lyon,Clay,20180521
2018-M-DC-2018-WG-M-FRA-ESP-01,Davis Cup WG SF: FRA vs ESP,Hard,20180914
2018-M-DC-2018-G2-AO-M-HKG-LBN-01,Davis Cup G2 R2: HKG vs LBN,Hard,20180407
2018-0316,Bastad,Clay,20180716
2018-0329,Tokyo,Hard,20181001
2018-M-DC-2018-G1-AO-M-CHN-NZL-01,Davis Cup G1 R1: CHN vs NZL,Hard,20180202
2018-M-DC-2018-G2-EPA-M-EGY-NOR-01,Davis Cup G2 R1: EGY vs NOR,Hard,20180203
2018-0319,Kitzbuhel,Clay,20180730
2018-M-DC-2018-WG-M-GBR-ESP-01,Davis Cup WG R1: GBR vs ESP,Clay,20180202
2018-M-DC-2018-G1-EPA-M-AUT-RUS-01,Davis Cup G1 R2: AUT vs RUS,Hard,20180406
2018-M015,Beijing,Hard,20181001
